,Title,Citation,Conference,Publisher,Journal,Date,Authors
90,Active Learning and the Irish Treebank,9,Unknown,Unknown,Australasian Language Technology Association Workshop 2012,2012,"Teresa Lynn, Jennifer Foster, Mark Dras, Elaine UÄ± Dhonnchadha"
91,DCU at the TREC 2008 Blog Track,9,Unknown,DUBLIN CITY UNIV (IRELAND),Unknown,2008,Adam Bermingham
92,Treebanks gone bad: Generating a treebank of ungrammatical English,9,Unknown,Unknown,Unknown,2007,Jennifer Foster
93,Semantic role labelling with minimal resources: experiments with french,8,Proceedings of the Third Joint Conference on Lexical and Computational Semantics (* SEM 2014),Unknown,Unknown,2014,"Rasoul Kaljahi, Jennifer Foster, Johann Roturier"
94,Detecting opinion polarities using kernel methods,7,"Proceedings of the Workshop on Computational Modeling of Peopleâ€™s Opinions, Personality, and Emotions in Social Media (PEOPLES)",Unknown,Unknown,2016,"Rasoul Kaljahi, Jennifer Foster"
95,DCU: Using distributional semantics and domain adaptation for the semantic textual similarity SemEval-2015 Task 2,7,Proceedings of the 9th International Workshop on Semantic Evaluation (SemEval 2015),Unknown,Unknown,2015,"Piyush Arora, Chris Hokamp, Jennifer Foster, Gareth Jones"
96,Combining PCFG-LA Models with Dual Decomposition: A Case Study with Function Labels and Binarization,7,Unknown,Unknown,Unknown,2013,"Joseph Le Roux, Antoine Rozenknop, Jennifer Foster"
97,Parser-based retraining for domain adaptation of probabilistic generators,7,Unknown,Association for Computational Linguistics,Unknown,2008,"Deirdre Hogan, Jennifer Foster, Joachim Wagner, Josef Van Genabith"
98,A unification strategy for parsing agreement errors,7,Unknown,Unknown,Proceedings of the ESSLLI-2000 Student Session,2000,Jennifer Foster
99,Treebank embedding vectors for out-of-domain dependency parsing,6,Unknown,Unknown,arXiv preprint arXiv:2005.00800,2020,"Joachim Wagner, James Barry, Jennifer Foster"
100,DCU-ADAPT: learning edit operations for microblog normalisation with the generalised perceptron,6,Proceedings of the Workshop on Noisy User-generated Text,Unknown,Unknown,2015,"Joachim Wagner, Jennifer Foster"
101,Quality Estimation of English-French Machine Translation: A Detailed Study of the Role of Syntax,6,Unknown,Unknown,Unknown,2014,"Rasoul Kaljahi, Jennifer Foster, Raphael Rubino, Johann Roturier"
102,Parser Accuracy in Quality Estimation of Machine Translation: A Tree Kernel Approach,6,Unknown,Unknown,Unknown,2013,"Rasoul Samad Zadeh Kaljahi, Jennifer Foster, Raphael Rubino, Johann Roturier, Fred Hollowood"
103,A Detailed Analysis of Phrase-based and Syntax-based Machine Translation: The Search for Systematic Differences,6,Proceedings of AMTA,Unknown,Unknown,2012,"Rasoul Samad Zadeh Kaljahi, Raphael Rubino, Johann Roturier, Jennifer Foster"
