Title,Citation,Conference,Publisher,Journal,Date,Authors,AuthorDCU
Bitcoin currency fluctuation,12,Unknown,Scitepress,Unknown,2018,"Marius Kinderis, Marija Bezbradica, Martin Crane",Marija Bezbradica
Scenario-based requirements elicitation for user-centric explainable ai,11,International Cross-Domain Conference for Machine Learning and Knowledge Extraction,"Springer, Cham",Unknown,2020,"Douglas Cirqueira, Dietmar Nedbal, Markus Helfert, Marija Bezbradica",Marija Bezbradica
"Day ahead forecasting of FAANG stocks using ARIMA, LSTM networks and wavelets.",10,Unknown,CEUR Workshop Proceedings,Unknown,2018,"Tom Skehin, Martin Crane, Marija Bezbradica",Marija Bezbradica
The role of user emotions for content personalization in e-commerce: literature review,8,International Conference on Human-Computer Interaction,"Springer, Cham",Unknown,2019,"Artem Bielozorov, Marija Bezbradica, Markus Helfert",Marija Bezbradica
Performance analysis of the quality of service-aware networking scheme for smart internet of things gateways,8,2017 13th International Wireless Communications and Mobile Computing Conference (IWCMC),IEEE,Unknown,2017,"Anderson Augusto Simiscuka, Marija Bezbradica, Gabriel-Miro Muntean",Marija Bezbradica
Urban Enterprise Principles development approach: a case from a European City,8,Unknown,Unknown,"AIS Pre-ICIS Work. IoT Smart City Challenges Appl. Dublin, Irel",2016,"Aleksas Mamkaitis, Marija Bezbradica, Markus Helfert",Marija Bezbradica
Customer purchase behavior prediction in e-commerce: A conceptual framework and research agenda,7,Unknown,Springer Nature,"New Frontiers in Mining Complex Patterns: 8th International Workshop, NFMCP 2019, Held in Conjunction with ECML-PKDD 2019, WÃ¼rzburg, Germany, September 16, 2019, Revised Selected Papers",2020,"Markus Helfert, Marija Bezbradica",Marija Bezbradica
Modelling drug coatings: A parallel cellular automata model of ethylcellulose-coated microspheres,7,Unknown,"IACSIT Press, Singapore",Unknown,2011,"Marija Bezbradica, Heather J Ruskin, Martin Crane",Marija Bezbradica
The Shift from financial to non-financial measures during transition into digital retailâ€“a systematic literature review,6,International conference on business information systems,"Springer, Cham",Unknown,2019,"GÃ¼ltekin Cakir, Marija Bezbradica, Markus Helfert",Marija Bezbradica
Applications of High Performance Algorithms to Large Scale Cellular Automata Frameworks Used in Pharmaceutical Modelling.,6,Unknown,Unknown,J. Cell. Autom.,2016,"Marija Bezbradica, Martin Crane, Heather J Ruskin",Marija Bezbradica
Predicting studentsâ€™ academic performance and main behavioral features using data mining techniques,5,International Conference on Computing,"Springer, Cham",Unknown,2019,"Suad Almutairi, Hadil Shaiba, Marija Bezbradica",Marija Bezbradica
Towards preprocessing guidelines for neural network embedding of customer behavior in digital retail,5,Unknown,Unknown,Unknown,2019,"Douglas Cirqueira, Markus Helfert, Marija Bezbradica",Marija Bezbradica
