Name1,Name2,Total_Paper_Count,Total_Citations_Achieved
76,861,1,0
76,1023,1,10
76,801,1,10
76,566,1,10
76,203,1,0
76,529,1,0
76,940,1,0
76,537,1,0
76,969,1,1
76,157,1,1
76,231,1,1
76,509,1,1
76,114,1,0
76,778,1,0
76,777,1,0
76,1045,3,9
76,839,1,5
76,690,6,37
76,558,1,0
76,968,1,0
76,211,1,0
76,191,1,28
76,297,1,28
76,385,1,28
76,995,1,28
76,966,1,0
53,76,2,5
76,913,1,5
37,1118,2,2
37,451,1,0
37,340,1,0
37,38,1,0
37,986,1,0
37,806,1,0
37,41,1,0
37,366,1,0
37,849,1,0
37,80,1,0
37,339,1,0
37,669,1,0
37,318,1,0
37,957,1,0
37,108,1,0
37,1022,1,0
37,1073,3,10
37,771,3,10
37,113,1,0
37,980,1,0
233,781,2,1
233,782,1,6
273,690,3,6
690,839,2,6
21,690,1,3
690,1045,3,9
191,690,1,28
297,690,1,28
385,690,1,28
690,995,1,28
211,690,1,0
558,690,1,0
690,968,1,0
155,690,1,0
690,800,1,0
71,413,2,5
413,527,1,0
302,413,1,3
263,315,4,42
263,714,1,2
263,327,4,9
263,530,3,7
263,504,3,8
263,774,2,6
263,307,3,7
221,263,3,7
250,263,3,7
79,263,10,64
263,879,1,1
263,1158,1,1
9,263,1,1
232,263,1,1
263,1143,1,5
34,263,4,18
263,656,1,11
263,369,1,11
263,741,1,0
263,671,1,0
263,500,1,0
229,263,1,0
228,263,1,1
63,263,2,2
263,745,1,0
263,516,1,0
180,263,1,0
263,325,1,0
119,242,1,2
242,1012,1,2
242,719,1,2
242,970,1,2
242,675,1,2
242,693,1,2
242,555,1,2
28,1177,1,0
28,791,2,0
28,665,1,0
28,973,1,0
28,818,12,31
28,697,5,16
28,664,2,2
28,461,1,0
28,910,1,0
28,353,1,0
28,178,1,0
28,238,1,0
28,378,1,0
28,951,1,0
28,505,1,0
28,851,1,0
28,441,2,0
28,750,1,0
28,402,1,0
28,789,1,0
28,790,1,0
28,64,1,0
28,598,4,7
28,838,1,0
28,617,2,1
28,359,2,73
28,102,2,73
28,554,2,73
28,522,2,73
18,28,2,73
28,1166,2,73
28,75,2,73
28,494,1,25
28,293,1,25
28,118,1,25
28,633,1,25
28,488,1,25
28,1134,2,73
28,360,1,25
28,996,1,0
28,296,1,0
28,93,1,0
28,1179,5,41
28,887,3,17
28,1082,8,53
28,301,2,6
28,1138,2,6
28,802,1,0
28,235,1,0
28,1048,1,2
28,217,1,2
28,204,1,2
28,689,1,1
28,559,3,1
28,526,1,1
28,407,1,1
28,746,1,1
28,496,1,1
28,1180,1,1
28,871,2,29
28,32,1,1
28,949,1,1
28,520,1,1
28,743,1,1
28,205,1,1
28,319,1,1
28,143,1,1
28,234,4,51
28,109,1,0
28,326,4,8
28,1007,1,2
28,903,1,2
28,972,2,5
28,632,1,3
28,1107,1,2
28,1178,2,2
28,979,1,12
28,1009,1,12
28,404,1,0
28,736,1,0
28,495,1,0
28,604,1,0
28,879,1,16
28,447,2,45
28,588,3,8
28,863,1,2
28,216,1,2
28,918,1,2
28,135,1,2
28,980,2,1
28,816,1,1
28,586,1,2
28,666,1,11
28,1106,1,0
28,300,1,6
28,361,1,48
28,398,1,0
28,1077,1,0
28,987,1,0
28,1054,1,0
28,758,1,0
28,305,1,0
51,335,1,0
51,696,1,0
51,433,1,0
51,785,1,0
51,818,1,0
455,457,1,0
73,457,1,0
457,859,1,0
347,457,6,10
214,457,2,1
457,908,1,0
457,1115,1,2
95,457,3,3
457,820,1,1
257,457,1,1
457,528,1,1
457,842,1,0
457,615,2,3
457,674,1,0
457,1058,1,3
46,457,1,3
312,457,1,3
457,683,1,3
368,457,1,3
457,740,1,0
258,457,1,0
457,860,1,0
457,792,1,0
468,766,1,0
468,981,2,1
492,914,3,16
639,914,1,3
914,952,1,3
914,1051,1,3
780,914,1,3
914,956,1,3
542,914,1,3
1,914,1,3
914,1121,1,3
218,914,1,3
914,1052,1,3
446,914,1,3
464,914,1,3
718,914,2,13
914,1050,2,13
702,914,2,13
914,1086,2,13
135,914,1,9
557,914,1,1
485,914,1,1
720,766,2,9
684,766,2,9
545,1082,1,0
431,1082,1,0
436,1082,1,0
1082,1169,1,0
142,1082,1,0
1082,1145,1,0
601,1082,3,0
427,1082,1,0
3,1082,1,0
154,1082,1,0
301,1082,10,46
647,1082,1,0
362,1082,1,0
1082,1179,9,193
887,1082,6,150
1082,1085,1,128
962,1082,1,0
517,1082,1,0
1082,1138,6,6
87,1082,1,0
322,1082,2,6
886,1082,2,6
944,1082,2,6
1082,1146,2,6
200,1082,2,6
890,1082,2,6
1082,1114,2,6
367,1082,2,6
414,1082,2,6
117,1082,2,6
348,1082,2,6
1082,1111,2,6
440,1082,2,6
971,1082,2,6
1013,1082,2,6
1000,1082,2,6
1078,1082,2,6
596,1082,2,6
243,1082,2,6
616,1082,2,6
279,1082,2,6
994,1082,2,6
248,1082,2,6
1016,1082,2,6
1082,1167,2,6
499,1082,2,6
727,1082,2,6
255,1082,2,6
1082,1152,2,6
602,1082,2,6
889,1082,2,6
599,1082,2,6
649,1082,1,1
129,1082,1,1
846,1082,2,1
783,1082,1,1
747,1082,1,1
1082,1137,1,1
1033,1082,2,1
85,1082,2,1
417,1082,2,1
1082,1161,1,2
27,1082,1,2
584,1082,1,2
564,1082,1,2
234,1082,1,6
300,1082,1,6
326,1082,1,6
581,1082,1,0
580,1082,1,0
704,1082,1,15
128,1082,1,0
78,1082,1,0
1082,1122,1,0
873,1082,1,0
1072,1082,1,0
990,1082,1,0
1082,1151,1,0
415,1082,1,0
651,1082,1,14
449,1082,1,14
86,1082,1,15
224,1082,1,1
975,1082,1,1
167,1082,1,0
112,1082,1,0
915,1082,1,2
26,79,4,7
79,1105,4,7
79,917,24,49
79,597,1,0
79,609,1,0
79,788,4,7
79,1028,2,1
79,434,2,1
79,1037,3,5
79,757,13,28
79,103,5,5
79,884,5,5
79,1128,1,0
59,79,1,0
10,79,1,0
79,107,1,0
79,316,1,0
79,397,1,0
79,410,1,0
79,770,1,0
79,460,1,0
79,390,1,0
79,960,1,0
79,406,1,0
79,328,1,0
45,79,1,0
79,1143,1,5
34,79,16,59
79,963,1,5
79,369,6,40
79,384,3,6
79,325,7,13
79,656,9,33
79,547,2,0
79,864,1,0
79,483,2,0
68,79,1,0
79,354,1,0
79,418,2,0
79,519,1,0
79,226,1,0
79,841,1,0
79,516,2,0
79,724,5,7
79,991,3,11
79,530,7,34
79,1064,4,4
79,1070,1,0
79,147,1,0
67,79,1,0
79,313,1,0
79,531,1,0
79,844,1,0
79,856,1,0
79,1110,1,0
79,561,2,6
79,424,1,0
47,79,1,0
79,948,1,0
79,655,1,0
79,240,1,0
79,91,2,6
79,947,1,0
79,634,1,0
79,1135,1,2
79,182,2,2
79,475,5,5
79,756,1,1
79,480,2,1
79,1157,3,3
79,357,1,6
79,551,1,6
79,1025,1,6
79,1029,1,6
79,546,1,6
79,481,1,6
74,79,1,6
79,364,1,6
79,196,1,6
79,532,1,6
79,624,1,6
79,850,1,6
79,525,1,6
69,79,1,6
79,869,1,6
79,768,1,6
79,847,1,6
79,503,1,6
79,587,1,6
79,264,1,6
35,79,1,6
79,821,1,6
79,365,1,6
79,1123,1,6
79,569,1,6
79,899,1,6
79,677,1,6
79,222,1,6
79,1047,1,6
79,1004,1,6
79,215,1,6
79,575,1,6
79,131,1,6
79,482,1,6
79,648,1,6
79,288,1,6
79,744,1,6
79,145,1,6
79,454,1,6
79,692,1,6
79,225,1,6
79,1059,1,6
79,543,1,6
79,346,1,6
79,1042,1,0
79,393,3,5
79,127,1,1
79,1124,1,1
79,878,5,10
79,901,2,0
79,882,1,1
79,327,4,7
79,504,2,6
79,774,2,6
79,307,4,7
79,221,4,7
79,250,4,7
79,682,1,4
79,881,1,3
79,94,1,2
79,315,6,127
79,510,1,2
79,1126,1,0
79,745,2,0
79,180,1,0
79,408,1,0
79,448,1,0
79,375,2,3
79,463,2,3
79,556,2,3
63,79,2,2
79,1087,1,6
79,673,1,6
79,663,1,6
39,79,1,6
79,355,1,6
79,1120,1,6
79,667,1,6
79,1100,1,6
79,120,1,0
79,929,1,0
79,176,1,0
77,79,1,0
79,583,2,9
79,174,1,8
79,230,1,8
79,524,1,8
79,1030,1,40
79,578,1,40
79,1104,1,40
79,100,1,5
79,190,1,85
79,876,1,18
79,228,1,1
772,1094,1,0
170,772,1,0
772,1109,1,0
772,983,1,5
303,772,2,7
772,1093,5,32
772,943,8,46
286,772,1,3
299,772,1,3
772,799,1,3
246,772,1,3
772,1184,2,4
772,877,2,4
395,772,1,2
146,772,1,2
50,772,2,6
772,977,1,3
489,772,1,3
25,772,1,3
251,772,1,3
772,1108,1,18
772,925,1,0
772,1186,1,2
772,1148,1,2
412,772,1,0
772,1154,1,0
458,772,1,0
772,1155,1,0
383,772,1,2
772,961,1,11
705,772,1,11
105,1039,1,0
105,336,1,0
105,818,1,0
336,1039,1,0
818,1039,1,0
336,818,1,0
441,750,1,0
402,441,1,0
441,789,1,0
402,750,1,0
750,789,1,0
402,789,1,0
7,905,1,0
905,959,2,1
905,998,1,0
707,905,1,0
7,959,1,0
7,998,1,0
7,707,1,0
959,998,1,0
707,959,1,0
707,998,1,0
60,905,1,1
765,905,1,1
905,1018,1,1
62,905,1,1
730,905,1,1
60,959,1,1
765,959,1,1
959,1018,1,1
62,959,1,1
730,959,1,1
60,765,1,1
60,1018,1,1
60,62,1,1
60,730,1,1
765,1018,1,1
62,765,1,1
730,765,1,1
62,1018,1,1
730,1018,1,1
62,730,1,1
845,985,7,70
16,985,1,0
985,1068,7,70
16,845,1,0
845,1068,8,74
16,1068,1,0
568,1125,1,3
761,1125,1,3
833,1125,1,3
568,761,1,3
568,833,1,3
761,833,1,3
347,1058,1,3
198,748,1,1
572,748,1,1
358,748,1,1
266,748,1,1
748,985,1,1
748,845,1,1
748,1068,1,1
198,572,3,57
198,358,3,57
198,266,3,57
198,985,3,57
198,845,3,57
198,1068,3,57
358,572,3,57
266,572,3,57
572,985,3,57
572,845,3,57
572,1068,3,57
266,358,3,57
358,985,3,57
358,845,3,57
358,1068,3,57
266,985,3,57
266,845,3,57
266,1068,3,57
343,985,1,2
539,985,1,2
343,539,1,2
386,1002,1,4
294,1002,1,4
872,1002,1,4
1002,1068,1,4
845,1002,1,4
294,386,1,4
386,872,1,4
386,1068,2,4
386,845,2,4
294,872,1,4
294,1068,1,4
294,845,1,4
872,1068,1,4
845,872,1,4
198,474,2,56
474,845,4,62
474,985,4,62
474,572,2,56
358,474,2,56
266,474,2,56
474,1068,4,62
386,462,1,0
462,631,1,0
462,985,1,0
462,685,1,0
462,638,1,0
462,474,1,0
462,845,1,0
462,1068,1,0
386,631,1,0
386,985,1,0
386,685,1,0
386,638,1,0
386,474,1,0
631,985,1,0
631,685,1,0
631,638,1,0
474,631,1,0
631,845,1,0
631,1068,1,0
685,985,2,6
638,985,2,6
638,685,2,6
474,685,2,6
685,845,2,6
685,1068,2,6
474,638,2,6
638,845,2,6
638,1068,2,6
2,644,1,15
275,331,1,0
275,388,1,0
89,275,1,0
275,317,1,0
275,694,6,16
331,388,1,0
89,331,1,0
317,331,1,0
331,694,1,0
89,388,1,0
317,388,1,0
388,694,3,5
89,317,1,0
89,694,1,0
317,694,1,0
262,275,3,11
262,694,3,11
227,935,1,0
227,275,1,0
227,694,1,0
70,227,1,0
227,272,1,0
275,935,1,0
694,935,1,0
70,935,1,0
272,935,1,0
70,275,1,0
272,275,1,0
70,694,1,0
272,694,1,0
70,272,1,0
389,1035,1,4
763,764,1,2
275,695,2,6
262,695,2,6
694,695,2,6
99,694,1,6
236,932,1,0
236,855,1,0
236,862,1,0
236,942,1,0
855,932,1,0
862,932,1,0
932,942,1,0
855,862,1,0
855,942,1,0
862,942,1,0
536,629,1,0
629,787,1,0
629,805,1,0
536,787,3,1
536,805,3,1
787,805,3,1
197,577,2,0
29,577,1,0
577,621,1,0
284,577,2,0
577,866,1,0
252,577,2,0
29,197,1,0
197,621,1,0
197,284,2,0
197,866,1,0
197,252,2,0
29,621,1,0
29,284,1,0
29,866,1,0
29,252,1,0
284,621,1,0
621,866,1,0
252,621,1,0
284,866,1,0
252,284,2,0
252,866,1,0
163,308,1,0
163,1141,1,0
163,292,1,0
163,321,1,0
163,594,1,0
163,922,1,0
163,290,1,0
163,900,1,0
163,843,1,0
308,1141,1,0
292,308,1,0
308,321,1,0
308,594,1,0
308,922,1,0
290,308,1,0
308,900,1,0
308,843,1,0
292,1141,1,0
321,1141,1,0
594,1141,1,0
922,1141,1,0
290,1141,1,0
900,1141,1,0
843,1141,1,0
292,321,1,0
292,594,1,0
292,922,1,0
290,292,1,0
292,900,1,0
292,843,1,0
321,594,1,0
321,922,1,0
290,321,1,0
321,900,1,0
321,843,1,0
594,922,1,0
290,594,1,0
594,900,1,0
594,843,1,0
290,922,1,0
900,922,1,0
843,922,1,0
290,900,1,0
290,843,1,0
843,900,1,0
465,853,2,0
706,1010,1,0
706,1150,3,1
1010,1150,1,0
14,706,2,1
14,1150,2,1
14,536,2,1
14,787,2,1
14,805,2,1
536,706,2,1
706,787,2,1
706,805,2,1
536,1150,3,1
787,1150,2,1
805,1150,2,1
136,560,2,1
493,533,2,3
108,465,1,16
134,465,1,16
162,465,1,16
320,465,1,16
465,487,1,16
465,938,1,16
295,465,1,16
465,688,1,16
